Player_ID,First_Name,Last_Name,Nick_Name,Position,Player_Level,Overall_Score,Player_Salary
1,Herbert,Bight,,Shooting Guard,Role-Player,12,6
2,Nevaeh,Krilltown,,Shooting Guard,Role-Player,13,8
3,Julia,Scallopton,,Power Forward,Rookie,34,5
4,Martha,Montepulciano,,Center,Starter,28,12
5,Grace,Slope,,Point Guard,Role-Player,21,9
6,Jackson,Crabtree,,Small Forward,Starter,25,13
7,Warren,Starfishworth,,Shooting Guard,Starter,27,12
8,Natalie,Krillworthy,,Point Guard,All-Star,43,13
9,Ulysses,Crabtree,,Small Forward,Role-Player,20,9
10,Laura,Vermentino,,Point Guard,Role-Player,12,4
11,Gerald,Clamford,,Small Forward,Starter,26,11
12,Barbara,Reef,,Point Guard,Rookie,19,3
13,Ava,Starfishworth,,Shooting Guard,Role-Player,23,5
14,Aiden,Snailman,,Point Guard,Role-Player,22,2
15,George,Mound,,Shooting Guard,Starter,29,13
16,Lou,Musselsworth,,Point Guard,Starter,28,11
17,John,Oysterburg,,Point Guard,Role-Player,17,7
18,Kai,Viognier,,Shooting Guard,Starter,34,8
19,Caleb,Brook,,Small Forward,Rookie,36,5
20,Avery,Ocean,,Point Guard,Starter,34,8
21,Zoe,Merlot,,Small Forward,Role-Player,18,1
22,Lou,Slope,,Shooting Guard,Role-Player,15,6
23,Dolley,Krilltown,,Point Guard,Role-Player,16,4
24,Gabriel,Gulf,,Small Forward,Starter,27,10
25,Lyndon,Bassborough,,Shooting Guard,Starter,34,13
26,Bill,Estuary,,Shooting Guard,Role-Player,22,7
27,Ryder,Lobstertown,,Point Guard,Starter,26,10
28,Henry,Musselsburg,,Shooting Guard,Role-Player,15,1
29,James,Zinfandel,,Point Guard,Starter,27,12
30,Eli,Ridge,,Small Forward,Starter,26,12
31,Scarlet,Marsanne,,Point Guard,Role-Player,17,3
32,Samuel,Clamford,,Shooting Guard,Superstar,48,29
33,Lily,Squidsworth,,Shooting Guard,All-Star,39,20
34,Scarlet,Musselsworth,,Power Forward,All-Star,41,20
35,Hazel,Channel,,Point Guard,Starter,28,13
36,Elizabeth,Tannat,,Point Guard,Role-Player,17,4
37,Olivia,Marsh,,Center,Starter,33,11
38,Jackson,Pond,,Point Guard,Role-Player,23,3
39,Michelle,Pinot Noir,,Small Forward,Starter,27,11
40,Frances,Ridge,,Shooting Guard,Role-Player,20,2
41,Emily,Lobstertown,,Power Forward,Role-Player,15,3
42,Rutherford,Roussanne,,Small Forward,Role-Player,13,3
43,Sophia,Shellsworth,,Shooting Guard,Role-Player,14,6
44,James,Shrimpsburg,,Point Guard,Role-Player,13,1
45,Franklin,Bayou,,Point Guard,Role-Player,13,8
46,Jack,Strait,,Center,Role-Player,21,4
47,Grace,Barnacleson,,Center,All-Star,46,21
48,Grayson,Clamsville,,Power Forward,All-Star,43,19
49,Rutherford,Marsanne,,Shooting Guard,Starter,25,12
50,Rosalynn,Shrimpsburg,,Shooting Guard,Starter,30,12
51,Helen,Shoals,,Small Forward,All-Star,43,10
52,Henry,Squidworthy,,Small Forward,Role-Player,12,6
53,Calvin,Barnacleton,,Point Guard,Starter,26,11
54,Dwight,Lagoon,,Shooting Guard,All-Star,38,14
55,Luna,Nebbiolo,,Center,Rookie,33,3
56,Eliza,Clamworthy,,Small Forward,Role-Player,15,2
57,Penelope,Quay,,Center,Starter,27,8
58,Autumn,Isle,,Point Guard,Role-Player,16,1
59,Riley,Sangiovese,,Shooting Guard,Starter,32,13
60,Harriet,Musselworth,,Shooting Guard,Role-Player,13,9
61,Madison,Mound,,Point Guard,Role-Player,16,7
62,Woodrow,Mere,,Shooting Guard,Starter,34,13
63,Theodore,Whaleson,,Power Forward,All-Star,37,10
64,Gabriel,Zinfandel,,Center,All-Star,37,16
65,Abigail,Shrimpsworth,,Point Guard,All-Star,42,17
66,Amelia,Whaleman,,Small Forward,Starter,24,13
